Age_band_of_driver,Driving_experience,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Type_of_vehicle_Commercial Vehicle,Type_of_vehicle_Non-Motorized,Type_of_vehicle_Other,Type_of_vehicle_Private Vehicle,Type_of_vehicle_Public Transport,Type_of_vehicle_Special Vehicle,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Type_of_collision_kfold,Types_of_Junction_kfold,Lanes_or_Medians_kfold,Day_kfold,Cause_of_accident_kfold,Hour_kfold,Area_accident_occured_kfold,Road_allignment_kfold,Vehicle_movement_kfold
1,2,0,2,2,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.8354603463992707,1.8352402745995424,1.8394607843137254,1.8358003442340791,1.8494208494208495,1.8370597243491578,1.8338762214983713,1.8362339514978603
1,0,0,2,2,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.881257275902212,1.8352402745995424,1.8394607843137254,1.813528336380256,1.8888888888888888,1.8370597243491578,1.8341589997640952,1.8362339514978603
1,4,0,2,2,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.881257275902212,1.828981723237598,1.8394607843137254,1.8471834913552705,1.8888888888888888,1.8067278287461774,1.8341589997640952,1.8362339514978603
0,4,0,2,2,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8387096774193548,1.8739255014326648,1.8325605358062855,1.8663663663663663,1.832582322357019,1.829560585885486,1.8316279069767443,1.8336678078148978,1.8360820306898036
0,1,0,2,2,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8396345748418834,1.877668782458165,1.8334981866139137,1.860759493670886,1.8310051107325382,1.8287581699346405,1.8321592649310874,1.8333333333333333,1.835801765878667
0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.8419277785583814,1.8023952095808384,1.828981723237598,1.8368347338935573,1.8418079096045197,1.8434782608695652,1.8370597243491578,1.8341589997640952,1.8362339514978603
1,2,0,2,2,2,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.8376140350877193,1.8005464480874316,1.8288787483702738,1.8360309641097818,1.8381962864721486,1.8392857142857142,1.8395672333848532,1.8340420505551618,1.834099396725079
2,1,0,2,2,2,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.7969613259668509,1.8163923846402066,1.8608058608058609,1.8106060606060606,1.832,1.8360995850622406,1.8321592649310874,1.8333333333333333,1.835801765878667
1,2,0,2,2,2,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.8396345748418834,1.8163923846402066,1.8297705943691345,1.8106060606060606,1.8466593647316538,1.8360995850622406,1.8321592649310874,1.8349112426035503,1.835801765878667
1,3,0,2,2,2,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.826027397260274,1.8078947368421052,1.8292555960437271,1.8069120961682945,1.8479948253557568,1.8354166666666667,1.844626168224299,1.828703156401466,1.8293031907282873
0,2,0,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8338945005611673,1.8078947368421052,1.8239600665557405,1.8069120961682945,1.7888675623800383,1.8354166666666667,1.8315854410857495,1.828703156401466,1.8293031907282873
0,2,0,2,2,2,1,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.8387096774193548,1.8109339407744875,1.8325605358062855,1.8315217391304348,1.852374839537869,1.8507223113964686,1.8426966292134832,1.8336678078148978,1.8360820306898036
1,2,0,2,2,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8375400920373728,1.8109339407744875,1.8531994981179423,1.8315217391304348,1.8473917869034406,1.8507223113964686,1.8149253731343284,1.8336678078148978,1.8360820306898036
0,3,3,2,4,2,1,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.8375400920373728,1.881578947368421,1.8325605358062855,1.8377412437455325,1.832582322357019,1.858736059479554,1.8316279069767443,1.8336678078148978,1.8360820306898036
2,0,3,2,4,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1.8419277785583814,1.8,1.828981723237598,1.8368347338935573,1.8178603006189213,1.8633879781420766,1.8432727272727272,1.8341589997640952,1.8362339514978603
0,1,0,2,2,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8338945005611673,1.8263985205732778,1.8775510204081634,1.8333333333333333,1.8305602716468592,1.8487544483985765,1.8278688524590163,1.828703156401466,1.8293031907282873
1,0,0,2,2,2,1,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8375400920373728,1.8301363531314998,1.8531994981179423,1.829593693147362,1.7959183673469388,1.858736059479554,1.8426966292134832,1.8336678078148978,1.8360820306898036
1,2,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8224811514736121,1.8322505800464037,1.8297705943691345,1.828190158465388,1.832,1.8437067773167357,1.8321592649310874,1.8349112426035503,1.835801765878667
1,2,0,2,2,2,1,3,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.8419277785583814,1.8354603463992707,1.828981723237598,1.816131830008673,1.8358003442340791,1.8431105047748977,1.91,1.8341589997640952,1.8362339514978603
4,2,0,2,2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.8338945005611673,1.8078947368421052,1.8462664714494876,1.8571428571428572,1.7888675623800383,1.8269484808454426,1.83594604447685,1.828703156401466,1.8293031907282873
1,3,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.826896551724138,1.8109339407744875,1.8247764160317985,1.8663663663663663,1.8823529411764706,1.829560585885486,1.8646441073512252,1.8336678078148978,1.8360820306898036
1,1,0,2,2,2,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.8219824679703305,1.8083333333333333,1.8288787483702738,1.832087015635622,1.8296167247386759,1.8502495840266222,1.88,1.8395061728395061,1.834099396725079
0,3,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.8396345748418834,1.8174603174603174,1.8306636155606408,1.827012641383899,1.8466593647316538,1.8344155844155845,1.8417085427135678,1.8349112426035503,1.8421052631578947
